encounter_datetime,park_area_id,city_agency,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
06/06/2020 12:08:00 PM,Q102,DEP,Social distancing (groups of 3 or more),Social Distancing,9,7,Bench/sitting area,,,,,Queens
06/06/2020 01:09:00 PM,Q102,DEP,Social distancing (groups of 3 or more),Social Distancing,5,5,Bench/sitting area,,,,,Queens
06/06/2020 02:08:00 PM,Q102,DEP,Social distancing (groups of 3 or more),Social Distancing,6,6,Bench/sitting area,,,,,Queens
06/06/2020 03:00:00 PM,Q102,DEP,Social distancing (groups of 3 or more),Social Distancing,7,7,Bench/sitting area,,,,,Queens
06/06/2020 04:00:00 PM,Q102,DEP,Social distancing (groups of 3 or more),Social Distancing,7,7,Bench/sitting area,,,,,Queens
06/06/2020 03:39:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 04:10:00 PM,M042,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Tennis courts,2,true,false,Manhattan
06/06/2020 04:57:00 PM,B073,OATH,Social distancing (groups of 3 or more),Social Distancing,11,0,Open field/multi-purpose play area,,,,,Brooklyn
06/06/2020 03:51:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,17,17,Open field/multi-purpose play area,,,,,Queens
06/06/2020 04:53:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 06:00:00 PM,Q163,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 06:00:00 PM,Q021,DEP,Social distancing (groups of 3 or more),Social Distancing,2,3,Parking Lot,,,,,Queens
06/06/2020 05:55:00 PM,Q021,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:51:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 05:00:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q021,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,8,true,false,Queens
06/06/2020 05:50:00 PM,X092-09,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/06/2020 03:30:00 PM,Q448,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 04:40:00 PM,Q024,DOC,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:42:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,4,true,true,Queens
06/06/2020 05:30:00 PM,R031,DEP,Social distancing (groups of 3 or more),Social Distancing,15,0,Open field/multi-purpose play area,,,,,Staten Island
06/06/2020 05:46:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
05/06/2020 05:15:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 03:15:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,0,60,Open field/multi-purpose play area,,,,,Queens
05/06/2020 04:30:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 05:42:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 05:30:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/06/2020 05:41:00 PM,Q448-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:33:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,6,0,Open field/multi-purpose play area,,,,,Brooklyn
06/06/2020 02:20:00 PM,M042,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/06/2020 12:12:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,7,0,Bench/sitting area,,,,,Brooklyn
06/06/2020 05:30:00 PM,X039,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/06/2020 05:30:00 PM,R106,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/06/2020 05:32:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:30:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:30:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:30:00 PM,B066,DDC,Patrons in an area closed to the public,Patrons in Closed Area,,,,Skate Park,8,false,false,Brooklyn
06/06/2020 05:30:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:28:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:24:00 PM,X092,DEP,Social distancing (groups of 3 or more),Social Distancing,15,5,Baseball field,,,,,Bronx
06/06/2020 05:27:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,9,true,true,Queens
06/06/2020 05:27:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 05:27:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 05:25:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 02:56:00 PM,Q015-03,DEP,Social distancing (groups of 3 or more),Social Distancing,7,0,Track/field area,,,,,Queens
06/06/2020 05:25:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/06/2020 05:30:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 05:15:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,16,0,Open field/multi-purpose play area,,,,,Brooklyn
